start|end|text
0.0|6.3| 안녕하세요. 이 강의는 GPT API로 챗봇 만들기라는 내용을 다루는 강의입니다.
7.2|10.38| GPT API에 대해서 생소하신 분들도 있을 텐데
10.38|16.72| 우리가 잘 알고 있는 챗GPT, 챗GPT 기능을 이용해서
16.72|21.4| 우리가 원하는 프로그램을 어떻게 만드는지에 대해서 이야기할 거예요.
22.1|23.88| 그래서 이런 강의들이 사실 많이 있습니다.
23.88|27.48| 그래서 여러 가지들이 있는데 이 강의의 특징이라고 한다면
27.48|33.06| GPT로 명확한 미션을 달성하는 챗봇 프로그램을 만드는 게 사실 쉽지는 않은데
33.06|37.38| 이걸 어떻게 해서 구현을 하는지 그리고 그게 왜 필요한지에 대해서 좀 이야기를 할 거고요.
38.48|41.48| 그 예제로, 예제는 여러 가지가 될 수 있는데
41.48|48.44| 여기서 예제로 하는 것은 음악 플레이리스트 동영상을 자동으로 대화를 통해서 생성하는 프로그램을 만드는 것을 다루려고 합니다.
49.8|51.94| 그래서 프로그램이 실행되는 모습을 한번 보여드릴게요.
51.94|58.0| 우리가 만들 프로그램은 이런 식으로 이제 나타나게 되고
